epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,866.035,0.86776,1.94532,0.00469,0.98178,1,0.995,0.85856,0.74776,2.43603,0.00891,0.000820675,0.000820675,0.000820675
45,884.502,0.83994,1.89514,0.00422,0.98736,1,0.995,0.83525,0.79881,2.47182,0.01036,0.000806528,0.000806528,0.000806528
46,903.104,0.77981,1.73904,0.00379,0.98836,1,0.995,0.87042,0.78761,2.44415,0.01014,0.00079238,0.00079238,0.00079238
47,921.809,0.73124,2.16189,0.00498,0.98807,1,0.995,0.86764,0.74082,2.40435,0.00891,0.000778233,0.000778233,0.000778233
48,940.207,0.84443,1.97009,0.00399,0.98725,1,0.995,0.864,0.71329,2.32678,0.00819,0.000764086,0.000764086,0.000764086
49,958.751,0.76009,1.78593,0.00435,0.98853,1,0.995,0.865,0.72219,2.19862,0.00842,0.000749939,0.000749939,0.000749939
50,977.376,0.74539,1.88346,0.00506,0.98834,1,0.995,0.86064,0.75268,2.17547,0.00927,0.000735792,0.000735792,0.000735792
51,996.142,0.78252,1.82839,0.00431,0.98679,1,0.995,0.85239,0.75365,2.15014,0.00943,0.000721645,0.000721645,0.000721645
52,1014.9,0.74734,1.7132,0.00452,0.9848,1,0.995,0.84128,0.65768,2.11032,0.00821,0.000707498,0.000707498,0.000707498
53,1033.42,0.72102,2.07218,0.0059,0.98383,1,0.995,0.88758,0.57928,2.06836,0.00615,0.000693351,0.000693351,0.000693351
54,1052.03,0.82835,1.8539,0.00498,0.98346,1,0.995,0.88967,0.56259,2.0645,0.00611,0.000679204,0.000679204,0.000679204
55,1070.63,0.86062,1.88314,0.00448,0.98314,1,0.995,0.88967,0.54193,1.9916,0.00591,0.000665057,0.000665057,0.000665057
56,1089.07,0.75391,1.52855,0.00373,0.9837,1,0.995,0.88292,0.53737,1.94458,0.00614,0.000650909,0.000650909,0.000650909
57,1107.9,0.8028,1.54439,0.00387,0.98562,1,0.995,0.87658,0.58421,1.95251,0.00655,0.000636762,0.000636762,0.000636762
58,1126.96,0.71387,1.78373,0.0052,0.98646,1,0.995,0.88492,0.59221,1.94969,0.00688,0.000622615,0.000622615,0.000622615
59,1145.79,0.65538,1.54374,0.00403,0.9868,1,0.995,0.8815,0.57846,1.95912,0.00673,0.000608468,0.000608468,0.000608468
60,1165.02,0.80027,1.45555,0.00333,0.98731,1,0.995,0.898,0.60841,1.96045,0.00695,0.000594321,0.000594321,0.000594321
61,1184.17,0.69393,1.66261,0.00399,0.98773,1,0.995,0.88133,0.63677,1.8671,0.00705,0.000580174,0.000580174,0.000580174
62,1203.01,0.82248,1.81566,0.00361,0.9876,1,0.995,0.88133,0.61442,1.84642,0.00681,0.000566027,0.000566027,0.000566027
63,1221.7,0.75305,1.66177,0.00359,0.98752,1,0.995,0.88133,0.6341,1.83987,0.00722,0.00055188,0.00055188,0.00055188
64,1240.57,0.68802,1.68652,0.00376,0.98764,1,0.995,0.88133,0.67163,1.85312,0.00782,0.000537733,0.000537733,0.000537733
