epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,836.871,0.83305,2.07991,0.00467,0.98213,1,0.995,0.91672,0.60786,2.28095,0.00757,0.000820675,0.000820675,0.000820675
45,855.987,0.80084,1.97201,0.00404,0.98127,1,0.995,0.90361,0.69609,2.2755,0.00925,0.000806528,0.000806528,0.000806528
46,874.88,0.78251,1.82208,0.00416,0.98087,1,0.995,0.88208,0.7103,2.25179,0.00908,0.00079238,0.00079238,0.00079238
47,893.86,0.67855,2.15406,0.00416,0.98078,1,0.995,0.88486,0.72203,2.21183,0.00862,0.000778233,0.000778233,0.000778233
48,912.96,0.88153,1.85994,0.00424,0.97963,1,0.995,0.84944,0.74019,2.18301,0.00863,0.000764086,0.000764086,0.000764086
49,932.289,0.75307,1.78131,0.00458,0.9811,1,0.995,0.862,0.71714,2.13597,0.00876,0.000749939,0.000749939,0.000749939
50,951.147,0.70886,1.98121,0.00455,0.98207,1,0.995,0.85588,0.68907,2.07843,0.00858,0.000735792,0.000735792,0.000735792
51,969.707,0.79675,1.84221,0.00455,0.98253,1,0.995,0.87875,0.6551,2.033,0.00772,0.000721645,0.000721645,0.000721645
52,988.372,0.72665,1.71123,0.00477,0.98263,1,0.995,0.87875,0.59526,1.9741,0.00673,0.000707498,0.000707498,0.000707498
53,1007.09,0.7768,2.07674,0.00627,0.98251,1,0.995,0.86271,0.57425,1.95736,0.00659,0.000693351,0.000693351,0.000693351
54,1025.64,0.78883,1.87083,0.005,0.9814,1,0.995,0.85714,0.63267,1.94961,0.00753,0.000679204,0.000679204,0.000679204
55,1044,0.86134,1.86478,0.00452,0.98113,1,0.995,0.84683,0.644,1.91939,0.00775,0.000665057,0.000665057,0.000665057
56,1062.63,0.79526,1.50627,0.00403,0.98082,1,0.995,0.8656,0.61862,1.92393,0.00753,0.000650909,0.000650909,0.000650909
57,1081.22,0.81954,1.55911,0.00412,0.98132,1,0.995,0.88292,0.63975,1.94126,0.00798,0.000636762,0.000636762,0.000636762
58,1099.93,0.67577,1.8367,0.00538,0.98232,1,0.995,0.88983,0.66034,1.93549,0.00808,0.000622615,0.000622615,0.000622615
59,1118.4,0.6577,1.53825,0.00395,0.9829,1,0.995,0.876,0.67335,1.93449,0.00781,0.000608468,0.000608468,0.000608468
60,1137.18,0.79917,1.43736,0.00372,0.98353,1,0.995,0.86772,0.67824,1.93036,0.008,0.000594321,0.000594321,0.000594321
61,1155.59,0.71489,1.71955,0.0044,0.98618,1,0.995,0.87606,0.6037,1.87849,0.00735,0.000580174,0.000580174,0.000580174
62,1174.11,0.75006,1.94271,0.00328,0.98668,1,0.995,0.87333,0.59523,1.82969,0.00715,0.000566027,0.000566027,0.000566027
63,1192.58,0.75552,1.7052,0.00377,0.98742,1,0.995,0.87606,0.6065,1.79065,0.0072,0.00055188,0.00055188,0.00055188
64,1210.99,0.6473,1.6632,0.00339,0.98713,1,0.995,0.87878,0.63777,1.76338,0.00765,0.000537733,0.000537733,0.000537733
65,1229.49,0.73783,1.4438,0.00402,0.98774,1,0.995,0.87113,0.6362,1.76659,0.00766,0.000523586,0.000523586,0.000523586
66,1248.62,0.64157,1.77029,0.00415,0.98703,1,0.995,0.88431,0.58425,1.72245,0.00685,0.000509438,0.000509438,0.000509438
67,1267.3,0.64418,1.44719,0.00393,0.98675,1,0.995,0.87597,0.56815,1.63131,0.00672,0.000495291,0.000495291,0.000495291
68,1286.1,0.74073,1.70159,0.00409,0.98623,1,0.995,0.87597,0.56982,1.60375,0.00713,0.000481144,0.000481144,0.000481144
69,1304.94,0.82474,1.79103,0.00536,0.98618,1,0.995,0.89185,0.5362,1.54035,0.00664,0.000466997,0.000466997,0.000466997
70,1324,0.69213,1.65028,0.00403,0.98636,1,0.995,0.88706,0.52938,1.51469,0.00631,0.00045285,0.00045285,0.00045285
71,1342.77,0.67206,1.31958,0.00331,0.98651,1,0.995,0.87942,0.54783,1.50939,0.00667,0.000438703,0.000438703,0.000438703
72,1361.54,0.62242,1.51025,0.00371,0.98618,1,0.995,0.87942,0.56129,1.50349,0.00685,0.000424556,0.000424556,0.000424556
73,1380.28,0.71887,1.41769,0.004,0.98664,1,0.995,0.87456,0.5037,1.47588,0.00602,0.000410409,0.000410409,0.000410409
74,1399.26,0.73698,1.4389,0.0039,0.98697,1,0.995,0.87456,0.48301,1.46034,0.00559,0.000396262,0.000396262,0.000396262
75,1418.06,0.75331,1.52048,0.0041,0.98719,1,0.995,0.87728,0.49814,1.46568,0.00562,0.000382115,0.000382115,0.000382115
76,1436.93,0.63867,1.39377,0.00323,0.98779,1,0.995,0.8925,0.5344,1.4762,0.00608,0.000367967,0.000367967,0.000367967
77,1455.51,0.70351,1.61764,0.00341,0.98786,1,0.995,0.88694,0.60789,1.48875,0.0073,0.00035382,0.00035382,0.00035382
78,1474.47,0.73213,1.32984,0.00386,0.98818,1,0.995,0.87878,0.62588,1.48268,0.00764,0.000339673,0.000339673,0.000339673
79,1493.41,0.63471,1.875,0.00419,0.98834,1,0.995,0.86013,0.64344,1.48306,0.00786,0.000325526,0.000325526,0.000325526
80,1512.19,0.65053,1.26665,0.00361,0.98809,1,0.995,0.86013,0.66091,1.48347,0.00805,0.000311379,0.000311379,0.000311379
81,1531.19,0.58342,1.44575,0.00361,0.98789,1,0.995,0.86829,0.67354,1.48099,0.00799,0.000297232,0.000297232,0.000297232
82,1549.91,0.6648,1.46079,0.00329,0.98779,1,0.995,0.85792,0.64399,1.46352,0.00751,0.000283085,0.000283085,0.000283085
83,1568.66,0.70308,1.35629,0.00281,0.98748,1,0.995,0.85792,0.61744,1.44776,0.00713,0.000268938,0.000268938,0.000268938
84,1587.6,0.65454,1.36949,0.00336,0.98713,1,0.995,0.86204,0.58705,1.43173,0.00674,0.000254791,0.000254791,0.000254791
85,1606.41,0.68685,1.26747,0.00394,0.98736,1,0.995,0.87038,0.52722,1.39838,0.006,0.000240644,0.000240644,0.000240644
86,1625.12,0.65035,1.60305,0.00339,0.98756,1,0.995,0.87038,0.50786,1.38686,0.00577,0.000226497,0.000226497,0.000226497
87,1644.01,0.59857,1.33164,0.00307,0.98743,1,0.995,0.87038,0.50891,1.38481,0.00584,0.000212349,0.000212349,0.000212349
88,1662.95,0.76388,1.30912,0.00354,0.98762,1,0.995,0.88079,0.52553,1.39021,0.00613,0.000198202,0.000198202,0.000198202
89,1681.64,0.59725,1.41915,0.00322,0.98774,1,0.995,0.88488,0.55996,1.40314,0.00666,0.000184055,0.000184055,0.000184055
90,1700.35,0.68165,1.31477,0.00373,0.98781,1,0.995,0.88079,0.57242,1.40652,0.00677,0.000169908,0.000169908,0.000169908
91,1719.37,0.5583,2.0206,0.00371,0.98797,1,0.995,0.88079,0.57713,1.40146,0.00678,0.000155761,0.000155761,0.000155761
92,1737.88,0.54486,1.8902,0.00371,0.98816,1,0.995,0.88079,0.57486,1.39798,0.00667,0.000141614,0.000141614,0.000141614
93,1756.94,0.62149,1.89544,0.00365,0.98777,1,0.995,0.88079,0.57377,1.38586,0.00653,0.000127467,0.000127467,0.000127467
94,1775.49,0.59607,1.87876,0.00396,0.98782,1,0.995,0.88487,0.579,1.38069,0.00657,0.00011332,0.00011332,0.00011332
95,1794.04,0.59184,1.64879,0.00297,0.9876,1,0.995,0.88487,0.5814,1.37327,0.00657,9.91726e-05,9.91726e-05,9.91726e-05
96,1812.37,0.62052,1.7475,0.00328,0.98757,1,0.995,0.88422,0.58049,1.36843,0.00656,8.50255e-05,8.50255e-05,8.50255e-05
97,1831.08,0.63085,1.65237,0.00328,0.98758,1,0.995,0.88422,0.57308,1.35574,0.00649,7.08784e-05,7.08784e-05,7.08784e-05
98,1849.68,0.58552,1.83572,0.00307,0.98736,1,0.995,0.88014,0.56845,1.35007,0.00646,5.67313e-05,5.67313e-05,5.67313e-05
99,1868.24,0.59453,1.74376,0.00343,0.98747,1,0.995,0.88422,0.56342,1.34724,0.00642,4.25842e-05,4.25842e-05,4.25842e-05
100,1886.5,0.57229,1.90391,0.00353,0.98749,1,0.995,0.8815,0.56198,1.34753,0.00643,2.84371e-05,2.84371e-05,2.84371e-05
